max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,SaftyDegree,TET,TIT,dece,JerkViolation,JerkExceededArea,avgJerk
5745.0764,0.1416,1.0032,0.2271,0.56,10.2495,2426.0418,0.2778,1.4424,0.2673,36.6904,1241.2509,1.360950767,0.804,0.8,4.597,0.45,11.78351,18.62849
5750.4308,0.142,1.0046,0.233,0.5824,10.2443,2459.8183,0.2765,1.4452,0.2677,36.6787,1247.8549,1.821552892,0.647,0.7,4.988,0.3,8.06308,14.92965
5782.5487,0.1415,1.0042,0.2038,0.5078,9.7739,2424.2226,0.2915,1.2593,0.2433,34.6368,1505.876,2.186252952,0.567,0.65,4.819,0.4,14.88175,29.06135
4398.2784,0.1448,1.0221,0.2179,0.5798,9.841,2383.4911,0.2671,1.8154,0.2446,32.7436,1284.6072,3.412047655,0.712,0.75,4.543,0.45,18.07759,32.35666
4398.2784,0.155,1.0221,0.229,0.5032,9.9946,2423.3063,0.2674,1.8154,0.2447,32.7102,1284.7972,1.59458722,0.797,0.8,5.599,0.25,7.60268,13.88311
5751.5514,0.1529,1.0027,0.2194,0.4809,9.7729,2400.8341,0.2632,1.2586,0.2405,34.6298,1485.2227,1.740747185,0.785,0.8,4.738,0.6,13.76353,21.98699
5835.5975,0.1542,1.0166,0.2182,0.5077,9.8683,2421.7724,0.2762,1.771,0.2456,32.9146,1256.8764,1.034931455,0.99,0.95,4.295,0.55,19.38653,26.34002
5782.2313,0.155,1.001,0.2784,0.5012,10.3399,2387.1742,0.2676,1.3983,0.243,34.6905,1308.348,2.371118455,0.614,0.7,4.887,0.35,12.27561,22.20385
5838.268,0.1548,1.0052,0.2803,0.582,10.3752,2415.8315,0.2897,1.4117,0.2447,34.3537,1259.3227,0.894923077,1.041,0.95,3.902,0.55,9.33625,13.02403
5838.268,0.1548,1.0052,0.2804,0.5729,9.8379,2415.9818,0.2888,1.4121,0.2447,34.6912,1259.3227,2.171088083,0.556,0.65,5.059,0.25,5.27498,11.02669
